All/001_Pelvis_Bend_25_JCM,0,,Pelvis,25,,,,,
All/002_Pelvis_Bend_N25_JCM,0,,Pelvis,-25,,,,,
All/003_Pelvis_Twist_15,0,,Pelvis,,15,,,,
All/004_Pelvis_Twist_N15,0,,Pelvis,,-15,,,,
All/005_Pelvis_Side_10,0,,Pelvis,,,10,,,
All/006_Pelvis_Side_N10,0,,Pelvis,,,-10,,,
All/007_Abdomen Lower_Bend_35_JCM,0,,Abdomen Lower,35,,,,,
All/008_Abdomen Lower_Bend_N20_JCM,0,,Abdomen Lower,-20,,,,,
All/009_Abdomen Lower_Twist_15,0,,Abdomen Lower,,15,,,,
All/010_Abdomen Lower_Twist_N15,0,,Abdomen Lower,,-15,,,,
All/011_Abdomen Lower_Side_15,0,,Abdomen Lower,,,15,,,
All/012_Abdomen Lower_Side_N15,0,,Abdomen Lower,,,-15,,,
All/013_Abdomen Upper_Bend_40_JCM,0,,Abdomen Upper,40,,,,,
All/014_Abdomen Upper_Bend_N25_JCM,0,,Abdomen Upper,-25,,,,,
All/015_Abdomen Upper_Twist_20,0,,Abdomen Upper,,20,,,,
All/016_Abdomen Upper_Twist_N20,0,,Abdomen Upper,,-20,,,,
All/017_Abdomen Upper_Side_24,0,,Abdomen Upper,,,24,,,
All/018_Abdomen Upper_Side_N24,0,,Abdomen Upper,,,-24,,,
All/019_Chest Lower_Bend_35_JCM,0,,Chest Lower,35,,,,,
All/020_Chest Lower_Bend_N25,0,,Chest Lower,-25,,,,,
All/021_Chest Lower_Twist_12,0,,Chest Lower,,12,,,,
All/022_Chest Lower_Twist_N12,0,,Chest Lower,,-12,,,,
All/023_Chest Lower_Side_20_JCM,0,,Chest Lower,,,20,,,
All/024_Chest Lower_Side_N20_JCM,0,,Chest Lower,,,-20,,,
All/025_Chest Upper_Bend_15,0,,Chest Upper,15,,,,,
All/026_Chest Upper_Bend_N15,0,,Chest Upper,-15,,,,,
